,date,dayofweek,dailyid_count,log_count
253,2019/06/11,TUE,49361,2631517
254,2019/06/12,WED,49651,2631762
255,2019/06/13,THU,50065,2728144
256,2019/06/14,FRI,50772,2864468
257,2019/06/15,SAT,40292,1917938
258,2019/06/16,SUN,40143,2151015
259,2019/06/17,MON,49370,2656836
260,2019/06/18,TUE,49673,2693043
261,2019/06/19,WED,50006,2702729
262,2019/06/20,THU,50169,2719012
263,2019/06/21,FRI,51264,2852087
264,2019/06/22,SAT,41998,2170188
265,2019/06/23,SUN,38776,1931496
266,2019/06/24,MON,48238,2537388
267,2019/06/25,TUE,50110,2693413
268,2019/06/26,WED,50230,2718149
269,2019/06/27,THU,50209,2694017
270,2019/06/28,FRI,50722,2746856
271,2019/06/29,SAT,42387,2177046
272,2019/06/30,SUN,38415,1837469
273,2019/07/01,MON,48421,2496620
274,2019/07/02,TUE,49383,2582210
275,2019/07/03,WED,49495,2618507
276,2019/07/04,THU,49622,2591667
277,2019/07/05,FRI,51371,2822319
278,2019/07/06,SAT,42615,2128397
279,2019/07/07,SUN,38073,1842706
280,2019/07/08,MON,49811,2671087
281,2019/07/09,TUE,49917,2703550
282,2019/07/10,WED,50176,2721410
283,2019/07/11,THU,50478,2721241
284,2019/07/12,FRI,51112,2856010
285,2019/07/13,SAT,43129,2369588
286,2019/07/14,SUN,38607,1972930
287,2019/07/15,MON,39372,2004689
288,2019/07/16,TUE,48825,2604308
289,2019/07/17,WED,49952,2695990
290,2019/07/18,THU,50350,2717377
291,2019/07/19,FRI,50962,2861477
292,2019/07/20,SAT,42110,2202818
293,2019/07/21,SUN,39068,1959580
294,2019/07/22,MON,48258,2577875
295,2019/07/23,TUE,49113,2642545
296,2019/07/24,WED,49176,2598735
297,2019/07/25,THU,50137,2711932
298,2019/07/26,FRI,50430,2834161
299,2019/07/27,SAT,42102,2185604
300,2019/07/28,SUN,38288,1910715
301,2019/07/29,MON,48441,2666565
302,2019/07/30,TUE,49135,2678282
303,2019/07/31,WED,49018,2654376
304,2019/08/01,THU,49255,2683123
305,2019/08/02,FRI,49933,2790983
306,2019/08/03,SAT,42639,2395202
307,2019/08/04,SUN,39500,2106079
308,2019/08/05,MON,49180,2701109
309,2019/08/06,TUE,49222,2714033
310,2019/08/07,WED,49136,2733298
311,2019/08/08,THU,49721,2783727
312,2019/08/09,FRI,49882,2917348
313,2019/08/10,SAT,41884,2411746
314,2019/08/11,SUN,38630,2258084
315,2019/08/12,MON,37354,2076854
316,2019/08/13,TUE,41497,2267584
317,2019/08/14,WED,41382,2209716
318,2019/08/15,THU,40763,2081291
319,2019/08/16,FRI,43471,2304238
320,2019/08/17,SAT,39503,2130064
321,2019/08/18,SUN,37849,1979873
322,2019/08/19,MON,47959,2581319
323,2019/08/20,TUE,48717,2641810
324,2019/08/21,WED,48982,2650633
325,2019/08/22,THU,49624,2702247
326,2019/08/23,FRI,50096,2793575
327,2019/08/24,SAT,42439,2298337
328,2019/08/25,SUN,39303,2096068
329,2019/08/26,MON,48921,2648283
330,2019/08/27,TUE,49375,2671890
331,2019/08/28,WED,49304,2616942
332,2019/08/29,THU,49738,2699501
333,2019/08/30,FRI,50169,2746790
334,2019/08/31,SAT,42323,2232364
335,2019/09/01,SUN,39060,2013949
336,2019/09/02,MON,48968,2574269
337,2019/09/03,TUE,49653,2577297
338,2019/09/04,WED,54936,2990280
339,2019/09/05,THU,57138,3232940
340,2019/09/06,FRI,59221,3464143
341,2019/09/07,SAT,51385,3052721
342,2019/09/08,SUN,46040,2477040
343,2019/09/09,MON,53155,3001375
344,2019/09/10,TUE,58027,3387161
345,2019/09/11,WED,57056,3298213
346,2019/09/12,THU,57090,3406432
347,2019/09/13,FRI,58694,3670527
348,2019/09/14,SAT,52574,3391808
349,2019/09/15,SUN,49125,3173579
350,2019/09/16,MON,46308,2756998
351,2019/09/17,TUE,57299,3413827
352,2019/09/18,WED,59043,3405529
353,2019/09/19,THU,60393,3560653
354,2019/09/20,FRI,60897,3723361
355,2019/09/21,SAT,52621,3267991
356,2019/09/22,SUN,49915,3086580
357,2019/09/23,MON,49031,2885273
358,2019/09/24,TUE,57157,3268749
359,2019/09/25,WED,56816,3305805
360,2019/09/26,THU,56539,3283266
361,2019/09/27,FRI,56803,3360115
362,2019/09/28,SAT,48571,2918971
363,2019/09/29,SUN,44924,2621201
364,2019/09/30,MON,53919,3087802
